 # Z-Coordinate     Average potential
       14.18855173      -23.08257480
       14.35353489      -13.84778129
       14.51851805       -7.29780334
       14.68350121       -3.31398357
       14.84848437       -0.78283470
       15.01346753        1.14136097
       15.17845069        2.54962001
       15.34343385        3.40864330
       15.50841701        3.99911410
       15.67340017        4.45201155
       15.83838333        4.74649183
       16.00336649        4.92069527
       16.16834965        5.01971628
       16.33333281        5.07134785
       16.49831597        5.09048526
       16.66329913        5.08246559
       16.82828229        5.04370199
       16.99326545        4.95928426
       17.15824861        4.79785976
       17.32323177        4.52261657
       17.48821493        4.16819276
       17.65319809        3.86118654
       17.81818125        3.54799293
       17.98316441        3.14212440
       18.14814757        2.82052691
       18.31313073        2.63899292
       18.47811389        2.60467176
       18.64309705        2.37342105
       18.80808021        1.96884461
       18.97306337        1.64267852
       19.13804653        1.24579590
       19.30302969        1.12541297
       19.46801285        1.88977631
       19.63299601        2.84142019
       19.79797916        3.26191134
       19.96296232        3.17341021
       20.12794548        2.88131323
       20.29292864        2.65806279
       20.45791180        2.32843450
       20.62289496        1.83052453
       20.78787812        1.41577262
       20.95286128        1.10638194
       21.11784444        0.59249842
       21.28282760        0.09279963
       21.44781076        0.16830462
       21.61279392        0.79551449
       21.77777708        1.37517586
       21.94276024        1.68143546
       22.10774340        1.75927232
       22.27272656        1.69493625
       22.43770972        1.62681571
       22.60269288        1.70237938
       22.76767604        1.83187282
       22.93265920        1.78601176
       23.09764236        1.64825802
       23.26262552        1.55307861
       23.42760868        1.49584785
       23.59259184        1.10341458
       23.75757500        0.74343017
       23.92255816        0.82082761
       24.08754132        1.02826889
       24.25252448        1.20781457
       24.41750764        1.32612134
       24.58249080        1.38888121
       24.74747396        1.49930104
       24.91245712        1.58864292
       25.07744028        1.62902105
       25.24242344        1.66994035
       25.40740659        1.66897918
       25.57238975        1.58626983
       25.73737291        1.35838282
       25.90235607        1.21515643
       26.06733923        1.32380010
       26.23232239        1.70271027
       26.39730555        2.13170039
       26.56228871        2.42310664
       26.72727187        2.34645126
       26.89225503        1.81708257
       27.05723819        1.27978016
       27.22222135        0.99237464
       27.38720451        0.96362171
       27.55218767        1.45256023
       27.71717083        2.10932817
       27.88215399        2.53091212
       28.04713715        2.60690562
       28.21212031        2.47180593
       28.37710347        2.06248044
       28.54208663        1.55609521
       28.70706979        1.61803615
       28.87205295        2.02497329
       29.03703611        2.23651514
       29.20201927        2.28344881
       29.36700243        2.22733123
       29.53198559        2.14898249
       29.69696875        2.02307072
       29.86195191        1.50033810
       30.02693507        0.91650703
       30.19191823        0.61819319
       30.35690139        0.69026249
       30.52188455        1.17709859
       30.68686771        1.80023121
       30.85185087        1.99634789
       31.01683402        1.80456187
       31.18181718        1.60653473
       31.34680034        1.60022110
       31.51178350        1.74880324
       31.67676666        1.86623101
       31.84174982        1.80725064
       32.00673298        1.75757117
       32.17171614        1.60621703
       32.33669930        1.37087355
       32.50168246        1.28065983
       32.66666562        1.12635932
       32.83164878        1.19569383
       32.99663194        1.74964543
       33.16161510        2.37556958
       33.32659826        2.73806359
       33.49158142        2.65217304
       33.65656458        2.13574567
       33.82154774        1.33234717
       33.98653090        0.71258957
       34.15151406        0.90232940
       34.31649722        1.71278821
       34.48148038        2.25990008
       34.64646354        2.34072349
       34.81144670        2.03856424
       34.97642986        1.45311618
       35.14141302        1.33424712
       35.30639618        2.10801924
       35.47137934        2.95816576
       35.63636250        3.23911262
       35.80134566        2.90750930
       35.96632882        2.51678415
       36.13131198        2.53716674
       36.29629514        2.61923980
       36.46127830        2.48849411
       36.62626145        2.13399964
       36.79124461        1.80039741
       36.95622777        1.63737144
       37.12121093        1.57102863
       37.28619409        1.52252659
       37.45117725        1.33451590
       37.61616041        1.06858214
       37.78114357        0.98674817
       37.94612673        1.34839250
       38.11110989        2.03695111
       38.27609305        2.62708828
       38.44107621        3.04933475
       38.60605937        3.56522813
       38.77104253        3.93404710
       38.93602569        3.94780612
       39.10100885        3.84052960
       39.26599201        3.62922906
       39.43097517        3.58202385
       39.59595833        4.07767969
       39.76094149        4.65188378
       39.92592465        4.94649529
       40.09090781        4.92766713
       40.25589097        4.72403703
       40.42087413        4.63343591
       40.58585729        4.89875152
       40.75084045        5.31605107
       40.91582361        5.60498237
       41.08080677        5.74182971
       41.24578993        5.76555183
       41.41077309        5.68715784
       41.57575625        5.51653083
       41.74073941        5.40039653
       41.90572257        5.49850232
       42.07070573        5.65788979
       42.23568888        5.74117131
       42.40067204        5.75626643
       42.56565520        5.76267174
       42.73063836        5.79267144
       42.89562152        5.81656237
       43.06060468        5.82974710
       43.22558784        5.83686135
       43.39057100        5.84071786
       43.55555416        5.84280931
       43.72053732        5.84393337
       43.88552048        5.84451815
       44.05050364        5.84481185
       44.21548680        5.84494343
       44.38046996        5.84499067
       44.54545312        5.84499550
       44.71043628        5.84497694
       44.87541944        5.84494844
       45.04040260        5.84491348
       45.20538576        5.84487817
       45.37036892        5.84484507
       45.53535208        5.84481026
       45.70033524        5.84477736
       45.86531840        5.84474889
       46.03030156        5.84472091
       46.19528472        5.84469361
       46.36026788        5.84466976
       46.52525104        5.84464687
       46.69023420        5.84462593
       46.85521736        5.84460641
       47.02020052        5.84458803
       47.18518368        5.84456945
       47.35016684        5.84455643
       47.51515000        5.84453823
       47.68013316        5.84452439
       47.84511631        5.84450958
       48.01009947        5.84449583
       48.17508263        5.84448284
       48.34006579        5.84447197
       48.50504895        5.84445937
       48.67003211        5.84444847
       48.83501527        5.15359800
 # Z-Coordinate     Average potential
        0.00000000        5.52960996
        0.16498316        5.52961529
        0.32996632        5.52962112
        0.49494948        5.52962560
        0.65993264        5.52963287
        0.82491580        5.52963697
